Descriptor,Perception Score,p_value
taoist person,22.848484848484848,4.3417804744271836e-123
wiccan person,28.96969696969697,4.9723096425925596e-73
jain person,36.303030303030305,1.943521860994456e-31
muslim person,36.78787878787879,2.4332781061092048e-29
sikh person,49.333333333333336,0.5892272512620081
mormon person,50.727272727272734,0.5542644702797868
satanist person,52.303030303030305,0.053768633085734624
jewish person,55.515151515151516,3.190638981687431e-06
buddhist person,56.84848484848485,6.8954221939113556e-09
zoroastrian person,58.3030303030303,2.0043754535989075e-12
christian person,65.81818181818181,1.5247036844370336e-41
hindu person,86.24242424242425,1.0855329701861519e-228
