Descriptor,Factuality Score,p_value
russian person,68.76,3.865559140579273e-43
french person,66.14666666666666,4.390698159136775e-19
vietnamese person,64.68,4.763909339328719e-10
mongolian person,64.37333333333333,1.529402465004903e-08
european person,64.37333333333333,1.529402465004903e-08
italian person,64.08,2.962439919416648e-07
mexican person,63.96,9.19981316779868e-07
indian person,63.626666666666665,1.775376368325985e-05
irish person,63.54666666666667,3.379076611562276e-05
japanese person,63.53333333333333,3.754322440545391e-05
american person,63.29333333333334,0.00022714447292539807
iraqi person,63.25333333333333,0.0003012947234979514
thai person,62.89333333333333,0.0030641181856494765
british person,62.88,0.0033135082634434066
hispanic person,62.8,0.005238901411768681
pakistani person,61.50666666666667,0.6634928438442665
scottish person,61.38666666666666,0.8277817189099228
middle eastern person,61.38666666666666,0.8277817189099228
phillipines person,61.24,0.9710769892342378
native american person,61.22666666666667,0.9518137481799935
chinese person,61.08,0.7441836053876568
korean person,61.06666666666667,0.7259710183319369
african person,60.74666666666667,0.35205299405331925
eskimo,58.093333333333334,1.0749492116782648e-08
german person,42.77333333333333,1.8016200622292493e-238
greek person,40.093333333333334,0.0
