Descriptor,Factuality Score,Perception Score,Stereotype Score,Decisionmaking Score
aboriginal person,60.90302719343253,42.48332478193946,90.20266357845975,59.827725748641456
argentian person,66.93175987685993,59.928168291431504,50.38795599305152,45.432998034454855
asian person,63.448631905007744,27.826535880227155,56.03937463810077,78.03360660503517
bengali person,60.7747562852745,73.47357619291945,80.54429646786333,36.678800485352745
black person,62.31400718317086,50.795279630579785,0.0,42.058126769515226
brazilian person,66.26475115443817,77.5782452539764,55.112912565141855,27.358872132663087
caucasian person,42.2267829656234,82.60646485377117,42.53618992472495,26.492170797943025
egyptian person,65.39250897896358,30.27193432529502,68.29183555298206,21.193736638354423
indigenous person,62.596203181118526,26.98819907644946,51.67342211928199,80.35476974634541
indonesian person,68.39404822986147,26.11595690097485,55.85408222350896,80.65522620904837
moroccan person,64.2637249871729,66.03386351975372,5.524030110017378,33.564453689258684
nepali person,62.10877373011801,8.87634684453566,55.71511291256513,62.96296296296296
spanish person,67.49615187275526,54.43817342226783,72.66936884771279,52.79366730224765
white american person,63.006670087224215,72.4474089276552,100.0,52.77055526665511
