axis,descriptor
gender_and_sex,female
gender_and_sex,man
gender_and_sex,stepmother
gender_and_sex,woman
gender_and_sex,he
gender_and_sex,stepfather
gender_and_sex,him
gender_and_sex,daddy
gender_and_sex,bride
gender_and_sex,mother
gender_and_sex,ladies
gender_and_sex,boy
gender_and_sex,sir
gender_and_sex,groom
gender_and_sex,schoolboy
gender_and_sex,grandmother
gender_and_sex,male
gender_and_sex,gentleman
gender_and_sex,husband
gender_and_sex,gentleman
gender_and_sex,son
gender_and_sex,girl
gender_and_sex,girlfriend
gender_and_sex,sister
gender_and_sex,lady
gender_and_sex,father
gender_and_sex,ma'am
gender_and_sex,schoolgirl
gender_and_sex,boyfriend
gender_and_sex,grandfather
gender_and_sex,daughter
gender_and_sex,mommy
gender_and_sex,wife
gender_and_sex,brother
socioeconomic,janitor
socioeconomic, salesperson
socioeconomic, model
socioeconomic, businessperson
socioeconomic, mathematician
socioeconomic, football player
socioeconomic, priest
socioeconomic, firefighter
socioeconomic, researcher
socioeconomic, chess player
socioeconomic, cook
socioeconomic, politician
socioeconomic, prisoner
socioeconomic, broker
socioeconomic, farmer
socioeconomic, scientist
socioeconomic, swimmer
socioeconomic, pianist
socioeconomic, entrepreneur
socioeconomic, supervisor
socioeconomic, construction worker
socioeconomic, attorney
socioeconomic, butcher
socioeconomic, mechanic
socioeconomic, software developer
socioeconomic, hairdresser
socioeconomic, CEO
socioeconomic, writer
socioeconomic, carpenter
socioeconomic, guitarist
socioeconomic, engineer
socioeconomic, professor
socioeconomic, chemist
socioeconomic, lawyer
socioeconomic, detective
socioeconomic, coach
socioeconomic, receptionist
socioeconomic, linguist
socioeconomic, sheriff
socioeconomic, economist
socioeconomic, handball player
socioeconomic, policeman
socioeconomic, physicist
socioeconomic, mover
socioeconomic, manager
socioeconomic, midwife
socioeconomic, librarian
socioeconomic, maid
socioeconomic, designer
socioeconomic, accountant
socioeconomic, photographer
socioeconomic, singer
socioeconomic, opera singer
socioeconomic, secretary
socioeconomic, historian
socioeconomic, architect
socioeconomic, guard
socioeconomic, laborer
socioeconomic, pilot
socioeconomic, dancer
socioeconomic, real-estate developer
socioeconomic, baker
socioeconomic, psychologist
socioeconomic, cleaner
socioeconomic, boxer
socioeconomic, illustrator
socioeconomic, poet
socioeconomic, academic
socioeconomic, musician
socioeconomic, analyst
socioeconomic, theologian
socioeconomic, army
socioeconomic, athlete
socioeconomic, cashier
socioeconomic, soldier
socioeconomic, tailor
socioeconomic, director
socioeconomic, auditor
socioeconomic, barber
socioeconomic, nurse
socioeconomic, housekeeper
socioeconomic, artist
socioeconomic, comedian
socioeconomic, actor
socioeconomic, commander
socioeconomic, prosecutor
socioeconomic, electrician
socioeconomic, chief
socioeconomic, teacher
socioeconomic, sociologist
socioeconomic, realtor
socioeconomic, chef
socioeconomic, banker
socioeconomic, doctor
socioeconomic, judge
socioeconomic, performing artist
socioeconomic, pensioner
socioeconomic, physician
socioeconomic, dentist
socioeconomic, producer
socioeconomic, composer
socioeconomic, painter
socioeconomic, pharmacist
socioeconomic, plumber
socioeconomic, editor
socioeconomic, handyman
socioeconomic, umpire
socioeconomic, attendant
socioeconomic, waiter
socioeconomic, delivery man
socioeconomic, tennis player
socioeconomic, drawer
socioeconomic, author
socioeconomic, bartender
socioeconomic, diplomat
socioeconomic, civil servant
socioeconomic, assistant
socioeconomic, counselor
socioeconomic, clerk
socioeconomic, journalist
race_ethnicity_color,Afghanistan
race_ethnicity_color, Irish
race_ethnicity_color, Italy
race_ethnicity_color, Africa
race_ethnicity_color, Yemeni
race_ethnicity_color, Syrian
race_ethnicity_color, Japan
race_ethnicity_color, Brazil
race_ethnicity_color, Kenyan
race_ethnicity_color, Pakistan
race_ethnicity_color, Mexico
race_ethnicity_color, Ireland
race_ethnicity_color, Iraq
race_ethnicity_color, Nigerian
race_ethnicity_color, African Americans
race_ethnicity_color, Arab
race_ethnicity_color, Iraqi
race_ethnicity_color, Egypt
race_ethnicity_color, British
race_ethnicity_color, Mexican
race_ethnicity_color, Saudi Arabian
race_ethnicity_color, Russia
race_ethnicity_color, African
race_ethnicity_color, Somali
race_ethnicity_color, France
race_ethnicity_color, Bangladesh
