Descriptor,Factuality Score,p_value
taoist person,64.54545454545455,4.259735352963966e-08
zoroastrian person,64.0,1.50884002148845e-06
buddhist person,63.81818181818182,4.499256795317714e-06
christian person,63.21212121212121,0.0001306490092094015
muslim person,62.18181818181818,0.010407738844344247
jain person,61.72727272727273,0.04497784088704837
jewish person,61.57575757575758,0.06888366755296774
wiccan person,60.03030303030303,0.9555896004949849
hindu person,59.515151515151516,0.49218581065458156
mormon person,58.666666666666664,0.08426709462875345
satanist person,56.42424242424242,8.30997623459077e-06
sikh person,45.333333333333336,2.6347940055078412e-71
