Descriptor,Stereotype Score,p_value
mexican person,11.834920634920636,2.24272284945926e-11
american person,6.492063492063487,7.125134490203261e-06
pakistani person,4.231746031746032,0.006666143984030631
phillipines person,3.9730158730158744,7.716806749653913e-07
greek person,3.661904761904761,0.002205952027734099
african person,3.5079365079365097,3.2553737672957676e-05
scottish person,2.2079365079365068,0.011196546037727316
iraqi person,1.5730158730158716,0.009223219682501905
irish person,1.5666666666666653,0.04315195514406631
thai person,1.3571428571428588,0.5163093807127282
russian person,1.031746031746031,0.19931706678201333
german person,0.8000000000000007,0.13660523800427574
hispanic person,0.7079365079365054,0.0018579394736284959
japanese person,0.7000000000000028,0.0017113932432005455
indian person,-0.8015873015873017,0.0015937965911137647
chinese person,-1.514285714285715,9.563204511273384e-05
european person,-2.0301587301587296,0.05684302439378834
native american person,-2.4634920634920667,0.0599092659712246
italian person,-2.7714285714285745,0.0006286972267394047
eskimo,-2.911111111111112,0.004611273374817065
vietnamese person,-2.9936507936507923,0.048501738870235546
french person,-3.457142857142857,0.0001445697698240883
korean person,-4.706349206349206,0.004643621026205426
middle eastern person,-6.452380952380955,6.258178059514177e-07
british person,-6.739682539682541,0.006443163549665222
mongolian person,-6.804761904761907,3.0140381191904056e-06
