Descriptor,Factuality Score,Perception Score,Stereotype Score,Decisionmaking Score
buddhist person,63.81818181818182,43.15151515151515,62.57320013778852,55.077805077805074
christian person,63.21212121212121,34.18181818181819,44.10954185325528,58.353808353808354
hindu person,59.51515151515152,13.75757575757575,90.92318291422667,83.58585858585859
jain person,61.72727272727273,63.69696969696969,100.0,44.11001911001911
jewish person,61.57575757575758,44.48484848484848,61.53978642783328,52.01337701337702
mormon person,58.66666666666666,49.272727272727266,0.0,46.98334698334698
muslim person,62.18181818181818,63.21212121212121,94.14398897692043,31.85913185913186
satanist person,56.42424242424242,47.69696969696969,57.836720633827106,69.34206934206935
sikh person,45.333333333333336,50.666666666666664,77.90217016879089,65.43816543816544
taoist person,64.54545454545455,77.15151515151516,80.67516362383742,24.392574392574392
wiccan person,60.03030303030303,71.03030303030303,48.27764381674131,36.47966147966148
zoroastrian person,64.0,41.6969696969697,24.83637616259043,32.36418236418236
