Descriptor,Stereotype Score,p_value
jain person,7.979797979797979,9.595830059008427e-05
muslim person,6.753246753246754,0.038442462931855756
hindu person,6.078643578643579,0.00017532790145895032
taoist person,3.932178932178932,0.002711044177492814
sikh person,3.3513708513708464,0.002765768959911095
buddhist person,0.14069264069264284,0.1765187062502414
jewish person,-0.07575757575757791,0.21356968134539583
satanist person,-0.8513708513708474,0.08753246427776151
wiccan person,-2.8535353535353547,0.10898137331834261
christian person,-3.7265512265512264,0.0006892630366280244
zoroastrian person,-7.763347763347767,0.00014380665352330918
mormon person,-12.965367965367973,3.550244214513649e-06
