Descriptor,Perception Score,p_value
egyptian person,5.130836326321191,0.0
caucasian person,13.032324268855824,7.242833892928659e-279
moroccan person,14.31503335043612,1.1926294283437789e-257
spanish person,15.9569009748589,3.361065949601641e-232
brazilian person,45.51051821446896,4.266269565749217e-05
bengali person,51.77013853258081,0.1099195081348779
indigenous person,55.97742432016418,4.7776851554220725e-08
white american person,60.74910210364289,6.139499963128328e-23
indonesian person,62.0318111852232,2.169414510535014e-28
argentian person,66.90610569522832,6.2877137430113215e-55
asian person,68.04336602994321,4.385394368863221e-62
aboriginal person,69.77937403796818,4.623857376369941e-75
black person,75.21806054386865,5.5613705401086457e-123
nepali person,95.6900974858902,0.0
