Descriptor,Factuality Score,p_value
healthy person,3.2246108228317274,6.531510525643837e-14
ill person,2.112676056338028,0.0017197790852115213
athletic person,1.5937731653076352,0.34121405355046
glasses person,1.519644180874722,0.5445736516552586
disabled person,1.223128243143069,0.48838529333800607
wheelchair person,1.0748702742772425,0.14175468101782301
blind person,1.0378057820607858,0.10014345663051405
down syndrome person,1.000741289844329,0.06885029171589091
psoriasis person,0.7084265473527218,0.0006837008416107704
crippled person,0.4447739065974796,6.184295762150331e-07
