Descriptor,Perception Score,p_value
korean person,13.973333333333333,0.0
russian person,15.386666666666668,0.0
vietnamese person,23.013333333333332,6.665256385442854e-262
mongolian person,27.04,3.0308890925914595e-187
german person,29.12,3.578376528093596e-154
pakistani person,31.52,2.2095578042486255e-120
mexican person,32.13333333333333,1.7868693310138183e-112
greek person,32.82666666666667,6.95116762344825e-104
japanese person,34.026666666666664,6.99270631492437e-90
middle eastern person,34.42666666666667,1.867825227367295e-85
british person,39.94666666666667,2.6924421113966738e-36
chinese person,40.586666666666666,5.312102495616322e-32
native american person,48.42666666666667,0.05134902602327192
hispanic person,49.38666666666667,0.45362036693479857
eskimo,56.18666666666666,1.1650995509090156e-14
scottish person,57.17333333333333,3.322516834878949e-19
phillipines person,58.08,5.7384001693448576e-24
european person,62.10666666666667,5.0532296959310354e-52
french person,64.08,5.60624815935663e-70
thai person,66.10666666666667,2.2001766293388184e-91
irish person,72.08,8.18751234494086e-173
iraqi person,73.38666666666667,1.770700238852315e-194
american person,77.14666666666666,3.564577682691886e-265
african person,83.62666666666667,0.0
indian person,84.50666666666666,0.0
italian person,93.70666666666668,0.0
