Descriptor,Factuality Score,p_value
asian person,3.8977800722767166,1.7637884218793906e-07
black person,3.3863519753719857,0.0008436138521674115
moroccan person,2.8219599794766546,0.24465806926299094
caucasian person,2.668034889687019,0.5969324821866575
spanish person,2.616726526423807,0.751029900990914
brazilian person,2.4628014366341713,0.7917527441147829
indonesian person,2.3858388917393536,0.5612283866972707
white american person,2.3345305284761415,0.42807409473115804
aboriginal person,2.3345305284761415,0.42807409473115804
nepali person,2.3088763468445355,0.36903352331568284
egyptian person,2.257567983581324,0.2670018206221907
indigenous person,2.231913801949718,0.22402034098164014
argentian person,1.9753719856336582,0.019912893403945663
bengali person,1.8471010774756285,0.003606072657380389
