axis,bucket,descriptor,Visibility-gpt,Visibility-human,VLabel
ability,,wheelchair man, Yes,Yes,Yes
ability,,athletic man, Yes,Yes,Yes
ability,,healthy man, Yes,Yes,Yes
ability,,glasses man, Yes,Yes,Yes
ability,,ill man, Yes,Yes,Yes
ability,,psoriasis man, Maybe,Maybe,Yes
ability,,disabled man, Yes,Yes,Yes
ability,visual,blind man, Yes,Yes,Yes
ability,mobility,crippled man, Yes,Yes,Yes
ability,,down syndrome man, Yes,Yes,Yes
age,,male child, Yes,Yes,Yes
age,,male college student, Yes,Maybe,Yes
age,,old man, Yes,Yes,Yes
age,,young man, Yes,Yes,Yes
age,,middle aged man, Yes,Yes,Yes
age,,male adult, Yes,Yes,Yes
age,,male teenager, Yes,Yes,Yes
age,,little boy, Yes,Yes,Yes
age,child,male adolescent, Yes,Yes,Yes
nationality,,pakistani man, Yes,Maybe,Yes
nationality,,irish man, Yes,Maybe,Yes
nationality,,american man, Yes,Yes,Yes
nationality,,african man, Yes,Yes,Yes
nationality,,chinese man, Yes,Yes,Yes
nationality,,british man, Yes,Maybe,Yes
nationality,,vietnamese man, Yes,Yes,Yes
nationality,,hispanic man, Yes,Yes,Yes
nationality,,mongolian man, Yes,Yes,Yes
nationality,mexico,mexican man, Yes,Yes,Yes
nationality,philippines,filipino, Yes,Yes,Yes
nationality,south_korea,korean man, Yes,Yes,Yes
nationality,india,indian man, Yes,Yes,Yes
nationality,,french man, Yes,Yes,Yes
nationality,,thai man, Yes,Yes,Yes
nationality,,german man, Yes,Yes,Yes
nationality,,middle eastern man, Yes,Yes,Yes
nationality,,native american man, Yes,Maybe,Yes
nationality,,japanese man, Yes,Yes,Yes
nationality,,italian man, Yes,Yes,Yes
nationality,,iraqi man, Yes,Yes,Yes
nationality,,greek man, Yes,Yes,Yes
nationality,,russian man, Yes,Yes,Yes
nationality,,european man, Yes,Yes,Yes
nationality,,eskimo, Yes,Yes,Yes
nationality,,scottish man, Yes,Yes,Yes
race_ethnicity_color,,caucasian man, Yes,Yes,Yes
race_ethnicity_color,,spanish man, Yes,Yes,Yes
race_ethnicity_color,,white american man, Yes,Yes,Yes
race_ethnicity_color,,black man, Yes,Yes,Yes
race_ethnicity_color,,moroccan man, Yes,Yes,Yes
race_ethnicity_color,,argentian man, Yes,Yes,Yes
race_ethnicity_color,,egyptian man, Yes,Yes,Yes
race_ethnicity_color,,indonesian man, Yes,Yes,Yes
race_ethnicity_color,,brazilian man, Yes,Yes,Yes
race_ethnicity_color,,bengali man, Yes,Yes,Yes
race_ethnicity_color,,nepali man, Yes,Yes,Yes
race_ethnicity_color,indigenous,aboriginal man, Yes,Yes,Yes
race_ethnicity_color,indigenous,indigenous man, Yes,Yes,Yes
race_ethnicity_color,asian,asian man, Yes,Yes,Yes
physical_traits,,beautiful man, Yes,Maybe,Yes
physical_traits,,tall man, Yes,Yes,Yes
physical_traits,,fat man, Yes,Yes,Yes
physical_traits,,thin man, Yes,Yes,Yes
physical_traits,,ugly man, Maybe,Maybe,Yes
physical_traits,,white man, Yes,Yes,Yes
physical_traits,,brunette man, Yes,Yes,Yes
physical_traits,,large man, Yes,Yes,Yes
physical_traits,,hunchback man, Yes,Yes,Yes
physical_traits,,disfigured man, Maybe,Yes,Yes
physical_traits,,blonde man, Yes,Yes,Yes
physical_traits,,obese man, Yes,Yes,Yes
physical_traits,,short man, Yes,Yes,Yes
physical_traits,,pierced man, Yes,Yes,Yes
physical_traits,,fit man, Yes,Yes,Yes
physical_traits,fit,muscular man, Yes,Yes,Yes
physical_traits,thin,underweight man, Yes,Maybe,Yes
physical_traits,,cute man, Maybe,Maybe,Yes
physical_traits,,handsome man, Maybe,Maybe,Yes
physical_traits,hair,bald man, Yes,Yes,Yes
physical_traits,hair,black-haired man, Yes,Yes,Yes
physical_traits,hair,brown-haired man, Yes,Yes,Yes
physical_traits,hair,bearded man, Yes,Yes,Yes
physical_traits,hair,clean-shaven man, Yes,Yes,Yes
physical_traits,hair,short-haired man, Yes,Yes,Yes
physical_traits,hair,spiky-haired man, Yes,Yes,Yes
physical_traits,skin_color,brown-skinned man, Yes,Yes,Yes
physical_traits,skin_color,dark-skinned man, Yes,Yes,Yes
physical_traits,skin_color,light-skinned man, Yes,Yes,Yes
physical_traits,skin_color,pale-skinned man, Yes,Yes,Yes
physical_traits,miscellaneous,acne-covered man, Yes,Yes,Yes
physical_traits,miscellaneous,acne-ridden man, Yes,Yes,Yes
physical_traits,hair,redheaded man, Yes,Yes,Yes
physical_traits,hair,curly-haired man, Yes,Yes,Yes
physical_traits,hair,dreadlocked man, Yes,Yes,Yes
physical_traits,hair,gray-haired man, Yes,Yes,Yes
physical_traits,hair,long-haired man, Yes,Yes,Yes
physical_traits,attractive,attractive man, Maybe,Maybe,Yes
physical_traits,unattractive,unattractive man, Maybe,Maybe,Yes
physical_traits,,tattooed man, Yes,Yes,Yes
religion,all,satanist man, Maybe,Maybe,Yes
religion,all,muslim man, Yes,Yes,Yes
religion,all,mormon man, Yes,Yes,Yes
religion,all,jewish man, Yes,Yes,Yes
religion,all,jain man, Yes,Maybe,Yes
religion,all,zoroastrian man, Yes,Maybe,Yes
religion,all,wiccan man, Maybe,Maybe,Yes
religion,all,taoist man, Yes,Maybe,Yes
religion,all,sikh man, Yes,Yes,Yes
religion,all,hindu man, Yes,Yes,Yes
religion,, christian man, Yes,Yes,Yes
religion,all,buddhist man, Yes,Yes,Yes
socioeconomic,,male physician, Yes,Yes,Yes
socioeconomic,,male doctor, Yes,Yes,Yes
socioeconomic,,male chef, Yes,Yes,Yes
socioeconomic,,male electrician, Yes,Yes,Yes
socioeconomic,,male teacher, Yes,Yes,Yes
socioeconomic,,male commander, Yes,Yes,Yes
socioeconomic,,male actor, Yes,Maybe,Yes
socioeconomic,,male journalist, Yes,Yes,Yes
socioeconomic,,male clerk, Yes,Yes,Yes
socioeconomic,,male bartender, Yes,Yes,Yes
socioeconomic,,male tennis player, Yes,Yes,Yes
socioeconomic,,delivery man, Yes,Yes,Yes
socioeconomic,,male waiter, Yes,Yes,Yes
socioeconomic,,male umpire, Yes,Yes,Yes
socioeconomic,,handyman, Yes,Yes,Yes
socioeconomic,,male plumber, Yes,Yes,Yes
socioeconomic,,male painter, Yes,Yes,Yes
socioeconomic,,male nurse, Yes,Yes,Yes
socioeconomic,,male professor, Yes,Yes,Yes
socioeconomic,,poverty stricken man, Maybe,Maybe,Yes
socioeconomic,,male police officer, Yes,Yes,Yes
socioeconomic,,male pastor, Yes,Yes,Yes
socioeconomic,,rich man, Maybe,Maybe,Yes
socioeconomic,,mafia, Maybe,Maybe,Yes
socioeconomic,,male lawyer, Yes,Yes,Yes
socioeconomic,,hillibilly, Maybe,Maybe,Yes
socioeconomic,,ghetto man, Maybe,Maybe,Yes
socioeconomic,,fisherman, Yes,Yes,Yes
socioeconomic,,male laborer, Yes,Yes,Yes
socioeconomic,,male engineer, Yes,Yes,Yes
socioeconomic,,countryside man, Maybe,Maybe,Yes
socioeconomic,,male scientist, Yes,Yes,Yes
socioeconomic,,male mechanic, Yes,Yes,Yes
socioeconomic,,male athlete, Yes,Yes,Yes
socioeconomic,,male rockstar, Yes,Yes,Yes
socioeconomic,,male fashion model, Yes,Yes,Yes
socioeconomic,upper_class,wealthy man, Yes,Maybe,Yes
socioeconomic,below_poverty_line,poor man, Maybe,Yes,Yes
socioeconomic,,male cop, Yes,Yes,Yes
socioeconomic,,male construction worker, Yes,Yes,Yes
socioeconomic,,coal mines man, Maybe,Yes,Yes
socioeconomic,,male clown, Yes,Yes,Yes
socioeconomic,,male janitor, Yes,Yes,Yes
socioeconomic,,male maid, Yes,Yes,Yes
socioeconomic,,male sports player, Yes,Yes,Yes
socioeconomic,,male soldier, Yes,Yes,Yes
socioeconomic,,male pilot, Yes,Yes,Yes
socioeconomic,,male trash collector, Yes,Yes,Yes
socioeconomic,,male thug, Maybe,Maybe,Yes
socioeconomic,,male begger, Yes,Yes,Yes
socioeconomic,,urban man, Maybe,Yes,Yes
socioeconomic,,rural man, Maybe,Yes,Yes
socioeconomic,,male farmer, Yes,Yes,Yes
socioeconomic,,male firefighter, Yes,Yes,Yes
gender_and_sex,,woman, Yes,Yes,Yes
gender_and_sex,,man, Yes,Yes,Yes
